Date,City,Value
2011-03-01,Kandy,32
2011-04-01,Kandy,62
2011-05-01,Kandy,53
2011-06-01,Kandy,81
2011-07-01,Kandy,218
2011-08-01,Kandy,99
2011-09-01,Kandy,251
2011-10-01,Kandy,255
2011-11-01,Kandy,182
2011-12-01,Kandy,348
2011-01-01,Matale,10
2011-02-01,Matale,18
2011-03-01,Matale,16
2011-04-01,Matale,20
2011-05-01,Matale,37
2011-06-01,Matale,53
2011-07-01,Matale,66
2011-08-01,Matale,25
2011-09-01,Matale,26
2011-10-01,Matale,17
2011-11-01,Matale,21
2011-12-01,Matale,56
2011-01-01,N eliya,3
2011-02-01,N eliya,8
2011-03-01,N eliya,9
2011-04-01,N eliya,19
2011-05-01,N eliya,17
2011-06-01,N eliya,20
2011-07-01,N eliya,50
2011-08-01,N eliya,10
2011-09-01,N eliya,31
2011-10-01,N eliya,43
2011-11-01,N eliya,17
2011-12-01,N eliya,25
2011-01-01,Galle,7
2011-02-01,Galle,19
2011-03-01,Galle,30
2011-04-01,Galle,57
2011-05-01,Galle,98
2011-06-01,Galle,112
2011-07-01,Galle,168
2011-08-01,Galle,100
2011-09-01,Galle,96
2011-10-01,Galle,50
2011-11-01,Galle,49
2011-12-01,Galle,93
2011-01-01,Hambantota,16
2011-02-01,Hambantota,8
2011-03-01,Hambantota,27
2011-04-01,Hambantota,70
2011-05-01,Hambantota,87
2011-06-01,Hambantota,48
2011-07-01,Hambantota,51
2011-08-01,Hambantota,18
2011-09-01,Hambantota,19
2011-10-01,Hambantota,13
2011-11-01,Hambantota,20
2011-12-01,Hambantota,39
2011-01-01,Matara,14
2011-02-01,Matara,18
2011-03-01,Matara,35
2011-04-01,Matara,55
2011-05-01,Matara,57
2011-06-01,Matara,51
2011-07-01,Matara,83
2011-08-01,Matara,27
2011-09-01,Matara,63
2011-10-01,Matara,72
2011-11-01,Matara,141
2011-12-01,Matara,179
2011-01-01,Jaffna,58
2011-02-01,Jaffna,34
2011-03-01,Jaffna,24
2011-04-01,Jaffna,20
2011-05-01,Jaffna,10
2011-06-01,Jaffna,16
2011-07-01,Jaffna,35
2011-08-01,Jaffna,33
2011-09-01,Jaffna,46
2011-10-01,Jaffna,19
2011-11-01,Jaffna,34
2011-12-01,Jaffna,71
2011-01-01,Killinochchi,2
2011-02-01,Killinochchi,4
2011-03-01,Killinochchi,10
2011-04-01,Killinochchi,13
2011-05-01,Killinochchi,4
2011-06-01,Killinochchi,3
2011-07-01,Killinochchi,3
2011-08-01,Killinochchi,5
2011-09-01,Killinochchi,8
2011-10-01,Killinochchi,3
2011-11-01,Killinochchi,4
2011-12-01,Killinochchi,7
2011-01-01,Mannar,8
2011-02-01,Mannar,5
2011-03-01,Mannar,4
2011-04-01,Mannar,2
2011-05-01,Mannar,2
2011-06-01,Mannar,2
2011-07-01,Mannar,2
2011-08-01,Mannar,1
2011-09-01,Mannar,0
2011-10-01,Mannar,17
2011-11-01,Mannar,8
2011-12-01,Mannar,49
2011-01-01,Vauniya,13
2011-02-01,Vauniya,3
2011-03-01,Vauniya,15
2011-04-01,Vauniya,5
2011-05-01,Vauniya,7
2011-06-01,Vauniya,11
2011-07-01,Vauniya,8
2011-08-01,Vauniya,2
2011-09-01,Vauniya,3
2011-10-01,Vauniya,3
2011-11-01,Vauniya,4
2011-12-01,Vauniya,7
2011-01-01,Mulative,2
2011-02-01,Mulative,3
2011-03-01,Mulative,0
2011-04-01,Mulative,1
2011-05-01,Mulative,1
2011-06-01,Mulative,7
2011-07-01,Mulative,1
2011-08-01,Mulative,0
2011-09-01,Mulative,0
2011-10-01,Mulative,1
2011-11-01,Mulative,2
2011-12-01,Mulative,1
2011-01-01,Battocolo,31
2011-02-01,Battocolo,41
2011-03-01,Battocolo,104
2011-04-01,Battocolo,185
2011-05-01,Battocolo,141
2011-06-01,Battocolo,112
2011-07-01,Battocolo,53
2011-08-01,Battocolo,21
2011-09-01,Battocolo,35
2011-10-01,Battocolo,123
2011-11-01,Battocolo,289
2011-12-01,Battocolo,558
2011-01-01,Ampara,12
2011-02-01,Ampara,6
2011-03-01,Ampara,2
2011-04-01,Ampara,20
2011-05-01,Ampara,10
2011-06-01,Ampara,29
2011-07-01,Ampara,20
2011-08-01,Ampara,11
2011-09-01,Ampara,24
2011-10-01,Ampara,13
2011-11-01,Ampara,16
2011-12-01,Ampara,33
2011-01-01,Trincomalee,7
2011-02-01,Trincomalee,17
2011-03-01,Trincomalee,25
2011-04-01,Trincomalee,25
2011-05-01,Trincomalee,12
2011-06-01,Trincomalee,19
2011-07-01,Trincomalee,21
2011-08-01,Trincomalee,6
2011-09-01,Trincomalee,10
2011-10-01,Trincomalee,3
2011-11-01,Trincomalee,8
2011-12-01,Trincomalee,24
2011-01-01,Kurunegala,31
2011-02-01,Kurunegala,49
2011-03-01,Kurunegala,60
2011-04-01,Kurunegala,59
2011-05-01,Kurunegala,91
2011-06-01,Kurunegala,116
2011-07-01,Kurunegala,178
2011-08-01,Kurunegala,84
2011-09-01,Kurunegala,84
2011-10-01,Kurunegala,71
2011-11-01,Kurunegala,82
2011-12-01,Kurunegala,135
2011-01-01,Puttalama,72
2011-02-01,Puttalama,64
2011-03-01,Puttalama,49
2011-04-01,Puttalama,28
2011-05-01,Puttalama,21
2011-06-01,Puttalama,52
2011-07-01,Puttalama,62
2011-08-01,Puttalama,23
2011-09-01,Puttalama,31
2011-10-01,Puttalama,27
2011-11-01,Puttalama,40
2011-12-01,Puttalama,102
2011-01-01,Anuradapura,21
2011-02-01,Anuradapura,18
2011-03-01,Anuradapura,14
2011-04-01,Anuradapura,21
2011-05-01,Anuradapura,31
2011-06-01,Anuradapura,39
2011-07-01,Anuradapura,43
2011-08-01,Anuradapura,21
2011-09-01,Anuradapura,22
2011-10-01,Anuradapura,24
2011-11-01,Anuradapura,12
2011-12-01,Anuradapura,33
2011-01-01,Polonnaruwa,5
2011-02-01,Polonnaruwa,38
2011-03-01,Polonnaruwa,20
2011-04-01,Polonnaruwa,28
2011-05-01,Polonnaruwa,38
2011-06-01,Polonnaruwa,44
2011-07-01,Polonnaruwa,36
2011-08-01,Polonnaruwa,23
2011-09-01,Polonnaruwa,18
2011-10-01,Polonnaruwa,16
2011-11-01,Polonnaruwa,6
2011-12-01,Polonnaruwa,32
2011-01-01,Badulla,22
2011-02-01,Badulla,21
2011-03-01,Badulla,15
2011-04-01,Badulla,36
2011-05-01,Badulla,31
2011-06-01,Badulla,65
2011-07-01,Badulla,201
2011-08-01,Badulla,54
2011-09-01,Badulla,46
2011-10-01,Badulla,39
2011-11-01,Badulla,49
2011-12-01,Badulla,53
2011-01-01,Monaragala,17
2011-02-01,Monaragala,24
2011-03-01,Monaragala,15
2011-04-01,Monaragala,33
2011-05-01,Monaragala,16
2011-06-01,Monaragala,18
2011-07-01,Monaragala,32
2011-08-01,Monaragala,17
2011-09-01,Monaragala,34
2011-10-01,Monaragala,30
2011-11-01,Monaragala,40
2011-12-01,Monaragala,36
2011-01-01,Rathnapura,47
2011-02-01,Rathnapura,38
2011-03-01,Rathnapura,40
2011-04-01,Rathnapura,113
2011-05-01,Rathnapura,89
2011-06-01,Rathnapura,118
2011-07-01,Rathnapura,153
2011-08-01,Rathnapura,86
2011-09-01,Rathnapura,117
2011-10-01,Rathnapura,87
2011-11-01,Rathnapura,91
2011-12-01,Rathnapura,181
2011-01-01,Kegalla,15
2011-02-01,Kegalla,24
